Gene stable ID,Gene name,Gene description,Gene start (bp),Gene end (bp),Gene % GC content
ENSG00000264419,MIR548AC,microRNA 548ac [Source:HGNC Symbol;Acc:HGNC:41626],116560024,116560111,32.95
ENSG00000143061,IGSF3,immunoglobulin superfamily member 3 [Source:HGNC Symbol;Acc:HGNC:5950],116574399,116667755,46.14
ENSG00000211543,MIR320B1,microRNA 320b-1 [Source:HGNC Symbol;Acc:HGNC:35247],116671749,116671827,35.44
ENSG00000203864,C1orf137,chromosome 1 open reading frame 137 (putative) [Source:HGNC Symbol;Acc:HGNC:32040],116694112,116706603,39.77
ENSG00000231072,GAPDHP64,glyceraldehyde-3-phosphate dehydrogenase pseudogene 64 [Source:HGNC Symbol;Acc:HGNC:4158],116713833,116714835,52.04
ENSG00000223489,NEFHP1,neurofilament heavy pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:7738],116739981,116742609,56.49
ENSG00000116824,CD2,CD2 molecule [Source:HGNC Symbol;Acc:HGNC:1639],116754385,116769228,47.15
ENSG00000225079,FTH1P22,ferritin heavy chain 1 pseudogene 22 [Source:HGNC Symbol;Acc:HGNC:37640],116775104,116775623,54.81
ENSG00000272715,AL157904.1,novel transcript,116909149,116909531,47.78
ENSG00000134247,PTGFRN,prostaglandin F2 receptor inhibitor [Source:HGNC Symbol;Acc:HGNC:9601],116910057,116990358,44.19
ENSG00000252510,RNA5SP55,RNA, 5S ribosomal pseudogene 55 [Source:HGNC Symbol;Acc:HGNC:42832],116962347,116962471,44.80
ENSG00000134256,CD101,CD101 molecule [Source:HGNC Symbol;Acc:HGNC:5949],117001750,117036476,42.66
ENSG00000236137,AL445231.1,uncharacterized LOC101929099 [Source:NCBI gene;Acc:101929099],117025482,117059490,41.76
ENSG00000116830,TTF2,transcription termination factor 2 [Source:HGNC Symbol;Acc:HGNC:12398],117060303,117107453,41.16
ENSG00000215930,MIR942,microRNA 942 [Source:HGNC Symbol;Acc:HGNC:33688],117094643,117094728,44.19
ENSG00000134253,TRIM45,tripartite motif containing 45 [Source:HGNC Symbol;Acc:HGNC:19018],117111060,117122587,46.89
ENSG00000228453,RPS15AP9,ribosomal protein S15a pseudogene 9 [Source:HGNC Symbol;Acc:HGNC:36164],117138229,117138609,43.04
ENSG00000134258,VTCN1,V-set domain containing T cell activation inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28873],117143587,117210960,42.41
ENSG00000277141,RF00017,,117243212,117243508,51.18
ENSG00000235202,LINC01525,long intergenic non-protein coding RNA 1525 [Source:HGNC Symbol;Acc:HGNC:51264],117295520,117321336,40.88
ENSG00000271427,AL358072.1,novel transcript,117364899,117365473,29.39
ENSG00000198162,MAN1A2,mannosidase alpha class 1A member 2 [Source:HGNC Symbol;Acc:HGNC:6822],117367449,117528872,35.34
ENSG00000279513,AL157902.2,TEC,117493515,117495006,33.18
ENSG00000226755,VPS25P1,VPS25 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44250],117549415,117549922,50.39
ENSG00000236866,AL157902.1,uncharacterized LOC100996263 [Source:NCBI gene;Acc:100996263],117596832,117605770,43.34
ENSG00000183508,TENT5C,terminal nucleotidyltransferase 5C [Source:HGNC Symbol;Acc:HGNC:24712],117605934,117628372,44.16
ENSG00000213262,VDAC2P3,voltage dependent anion channel 2 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:51931],117640812,117641639,44.20
ENSG00000212266,RF00561,,117688621,117688742,30.33
ENSG00000270719,AL390877.1,anaphase promoting complex subunit 13 (ANAPC13) pseudogene,117700029,117700242,44.86
ENSG00000228217,PNRC2P1,proline rich nuclear receptor coactivator 2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:51933],117778087,117778506,39.52
ENSG00000196505,GDAP2,ganglioside induced differentiation associated protein 2 [Source:HGNC Symbol;Acc:HGNC:18010],117863485,117929630,36.55
ENSG00000065183,WDR3,WD repeat domain 3 [Source:HGNC Symbol;Acc:HGNC:12755],117929720,117966542,36.95
ENSG00000155761,SPAG17,sperm associated antigen 17 [Source:HGNC Symbol;Acc:HGNC:26620],117953861,118185223,37.52
ENSG00000222209,RNA5SP56,RNA, 5S ribosomal pseudogene 56 [Source:HGNC Symbol;Acc:HGNC:42833],118264372,118264489,43.22
ENSG00000226126,PSMC1P12,proteasome 26S subunit, ATPase 1 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:39787],118614333,118615646,42.31
ENSG00000229911,AL139148.1,high density lipoprotein binding protein (vigilin) (HDLBP) pseudogene,118712999,118713678,48.24
ENSG00000092607,TBX15,T-box 15 [Source:HGNC Symbol;Acc:HGNC:11594],118883046,118989556,41.12
ENSG00000226172,AL139420.1,uncharacterized LOC105378933 [Source:NCBI gene;Acc:105378933],119000344,119001392,58.72
ENSG00000239216,AL139420.2,novel transcript,119000618,119001405,59.14
ENSG00000116874,WARS2,tryptophanyl tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:12730],119031216,119140671,38.10
ENSG00000224238,WARS2-IT1,WARS2 intronic transcript 1 [Source:HGNC Symbol;Acc:HGNC:41393],119047405,119064785,39.76
ENSG00000223575,RBMX2P3,RBMX2 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:39925],119084998,119085954,50.26
ENSG00000236804,RPS3AP12,ribosomal protein S3a pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:35527],119126539,119127291,40.77
ENSG00000231365,AL359915.2,uncharacterized LOC101929147 [Source:NCBI gene;Acc:101929147],119140396,119275973,40.62
ENSG00000227056,RPL6P2,ribosomal protein L6 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:35964],119219314,119220096,44.96
ENSG00000227712,AL359915.1,novel transcript,119260265,119327303,40.77
ENSG00000232650,LINC01780,long intergenic non-protein coding RNA 1780 [Source:HGNC Symbol;Acc:HGNC:52570],119328176,119356182,42.19
ENSG00000194297,RNU1-75P,RNA, U1 small nuclear 75, pseudogene [Source:HGNC Symbol;Acc:HGNC:48417],119331397,119331525,43.41
ENSG00000116882,HAO2,hydroxyacid oxidase 2 [Source:HGNC Symbol;Acc:HGNC:4810],119368779,119394130,41.51
ENSG00000230921,HAO2-IT1,HAO2 intronic transcript 1 [Source:HGNC Symbol;Acc:HGNC:41342],119368946,119370331,40.76
ENSG00000203859,HSD3B2,hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2 [Source:HGNC Symbol;Acc:HGNC:5218],119414931,119423035,43.80
ENSG00000232780,GAPDHP74,glyceraldehyde-3-phosphate dehydrogenase pseudogene 74 [Source:HGNC Symbol;Acc:HGNC:50647],119434166,119435080,46.23
ENSG00000203858,HSD3BP2,hydroxy-delta-5-steroid dehydrogenase, 3 beta, pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:5220],119439001,119446086,44.76
ENSG00000235595,GAPDHP23,glyceraldehyde 3 phosphate dehydrogenase pseudogene 23 [Source:HGNC Symbol;Acc:HGNC:37775],119462029,119463021,47.03
ENSG00000187481,HSD3BP1,hydroxy-delta-5-steroid dehydrogenase, 3 beta, pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:5219],119467221,119473803,46.15
ENSG00000229570,GAPDHP58,glyceraldehyde 3 phosphate dehydrogenase pseudogene 58 [Source:HGNC Symbol;Acc:HGNC:4142],119495836,119496841,48.31
ENSG00000203857,HSD3B1,hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1 [Source:HGNC Symbol;Acc:HGNC:5217],119507198,119515054,44.53
ENSG00000226443,GAPDHP32,glyceraldehyde 3 phosphate dehydrogenase pseudogene 32 [Source:HGNC Symbol;Acc:HGNC:37784],119533749,119534746,48.80
ENSG00000249798,HSD3BP3,hydroxy-delta-5-steroid dehydrogenase, 3 beta, pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:5221],119538509,119545913,43.89
ENSG00000239873,GAPDHP27,glyceraldehyde 3 phosphate dehydrogenase pseudogene 27 [Source:HGNC Symbol;Acc:HGNC:37779],119558755,119559774,46.08
ENSG00000203855,HSD3BP4,hydroxy-delta-5-steroid dehydrogenase, 3 beta, pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:5222],119564066,119572067,45.45
ENSG00000240244,GAPDHP33,glyceraldehyde 3 phosphate dehydrogenase pseudogene 33 [Source:HGNC Symbol;Acc:HGNC:37785],119596167,119597179,47.19
ENSG00000260941,LINC00622,long intergenic non-protein coding RNA 622 [Source:HGNC Symbol;Acc:HGNC:44251],119597702,119599271,37.71
ENSG00000198857,HSD3BP5,hydroxy-delta-5-steroid dehydrogenase, 3 beta, pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:5223],119601340,119609250,45.78
ENSG00000143067,ZNF697,zinc finger protein 697 [Source:HGNC Symbol;Acc:HGNC:32034],119619422,119647773,44.33
ENSG00000092621,PHGDH,phosphoglycerate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8923],119648411,119744226,43.78
ENSG00000134240,HMGCS2,3-hydroxy-3-methylglutaryl-CoA synthase 2 [Source:HGNC Symbol;Acc:HGNC:5008],119747996,119768905,41.86
ENSG00000134193,REG4,regenerating family member 4 [Source:HGNC Symbol;Acc:HGNC:22977],119794018,119811660,43.63
ENSG00000215864,NBPF7,NBPF member 7 [Source:HGNC Symbol;Acc:HGNC:31989],119834870,119844514,45.45
ENSG00000227205,PFN1P9,profilin 1 pseudogene 9 [Source:HGNC Symbol;Acc:HGNC:42991],119853316,119853748,55.43
ENSG00000226446,NOTCH2P1,notch 2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44253],119886304,119886927,44.39
ENSG00000134249,ADAM30,ADAM metallopeptidase domain 30 [Source:HGNC Symbol;Acc:HGNC:208],119893533,119896495,43.81
ENSG00000261662,AL359752.1,novel transcript, sense overlapping NOTCH2,119909255,119910613,42.24
ENSG00000134250,NOTCH2,notch 2 [Source:HGNC Symbol;Acc:HGNC:7882],119911553,120069626,39.74
ENSG00000273406,AC245008.1,novel transcript,120076616,120077091,42.23
ENSG00000207149,RNU6-465P,RNA, U6 small nuclear 465, pseudogene [Source:HGNC Symbol;Acc:HGNC:47428],120126974,120127074,41.58
ENSG00000265808,SEC22B,SEC22 homolog B, vesicle trafficking protein (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:10700],120150898,120176515,36.13
ENSG00000274642,AC244669.2,phosphodiesterase 4D interacting protein (PDE4DIP) pseudogene,120197085,120319680,40.62
ENSG00000277313,RF00100,,120228046,120228295,41.60
ENSG00000223804,AC244669.1,Poly [ADP-ribose] polymerase 8 (PARP8) pseudogene,120267334,120341871,39.92
ENSG00000273727,RF00003,,120354987,120355148,45.68
ENSG00000270392,PFN1P2,profilin 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:24298],120432204,120434052,41.27
ENSG00000270231,NBPF8,NBPF member 8 [Source:HGNC Symbol;Acc:HGNC:31990],120436353,120467739,44.63
ENSG00000275131,AC241952.1,phosphodiesterase 4D interacting protein-like [Source:NCBI gene;Acc:100996724],120489860,120701289,40.82
ENSG00000273694,RF00004,,120571120,120571264,33.10
ENSG00000275933,RF00100,,120670127,120670376,42.00
ENSG00000273136,NBPF26,NBPF member 26 [Source:HGNC Symbol;Acc:HGNC:49571],120723923,120841481,40.73
ENSG00000275538,RNVU1-19,RNA, variant U1 small nuclear 19 [Source:HGNC Symbol;Acc:HGNC:48324],120850819,120850985,50.30
ENSG00000263353,PPIAL4A,peptidylprolyl isomerase A like 4A [Source:HGNC Symbol;Acc:HGNC:24369],120889746,120890405,46.52
ENSG00000281741,AC241377.3,uncharacterized LOC100996720 [Source:NCBI gene;Acc:100996720],120913151,120914238,64.52
ENSG00000226067,LINC00623,long intergenic non-protein coding RNA 623 [Source:HGNC Symbol;Acc:HGNC:44252],120913275,121009291,42.06
ENSG00000277610,RNVU1-4,RNA, variant U1 small nuclear 4 [Source:HGNC Symbol;Acc:HGNC:48312],120942600,120942763,43.90
ENSG00000285215,AC241377.4,novel pseudogene, similar to phosphodiesterase 4D interacting protein PDE4DIP,120963645,120977585,41.83
ENSG00000275585,AC241377.2,phosphodiesterase 4D interacting protein pseudogene [Source:NCBI gene;Acc:101929798],120985692,121052167,43.66
ENSG00000273516,RF00003,,121008362,121008507,51.37
ENSG00000275296,AC241377.1,ubiquitin-conjugating enzyme E2D 4 (putative) (UBE2D4) pseudogene,121058948,121059353,48.03
ENSG00000198019,FCGR1B,Fc fragment of IgG receptor Ib [Source:HGNC Symbol;Acc:HGNC:3614],121087345,121096310,42.06
ENSG00000234998,AC244453.3,novel transcript, antisense to FCGR1B,121087528,121116676,41.71
ENSG00000233029,AC244453.2,novel transcript,121090289,121097655,43.86
ENSG00000223345,HIST2H2BA,histone cluster 2 H2B family member a (pseudogene) [Source:HGNC Symbol;Acc:HGNC:20560],121108210,121117257,41.15
ENSG00000227193,AC244453.1,novel transcript,121118126,121146826,42.93
ENSG00000213244,HIST2H3DP1,histone cluster 2 H3 family member d pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:43797],121118195,121118610,66.83
ENSG00000268993,RPL22P6,ribosomal protein L22 pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:36473],121142051,121142438,40.72
ENSG00000188610,FAM72B,family with sequence similarity 72 member B [Source:HGNC Symbol;Acc:HGNC:24805],121167646,121185539,41.53
ENSG00000171943,SRGAP2C,SLIT-ROBO Rho GTPase activating protein 2C [Source:HGNC Symbol;Acc:HGNC:30584],121184810,121392822,41.92
ENSG00000275129,AC243994.1,RAP1, GTP-GDP dissociation stimulator 1 (RAP1GDS1) pseudogene,121314947,121315055,42.20
ENSG00000230806,SRGAP2-AS1,SRGAP2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40902],121360156,121398806,43.40
ENSG00000227082,AC244021.1,novel transcript,121396754,121463429,36.97
ENSG00000228826,AL592494.1,novel transcript,121494379,121510383,38.06
ENSG00000233432,AL592494.2,mitochondrial translational initiation factor 2 (MTIF2) pseudogene,121502344,121503891,39.15
ENSG00000272583,AL592494.3,novel transcript,121518366,121518829,38.79
ENSG00000231752,EMBP1,embigin pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:38661],121519112,121575702,37.81
ENSG00000224857,LINC01691,long intergenic non-protein coding RNA 1691 [Source:HGNC Symbol;Acc:HGNC:52479],121573946,121580524,41.10
ENSG00000276118,AC242852.1,transmembrane protein 128 (TMEM128) pseudogene,143343180,143343275,39.58
ENSG00000277095,AC242852.2,otopetrin 1 (OTOP1) pseudogene,143354191,143386122,45.91
ENSG00000277702,AC239859.6,lymphocyte-specific protein 1 (LSP1) pseudogene,143419625,143420207,57.63
ENSG00000252830,RNA5SP533,RNA, 5S ribosomal pseudogene 533 [Source:HGNC Symbol;Acc:HGNC:53802],143439605,143439714,44.55
ENSG00000264145,AC239859.4,dopamine receptor D5 (DRD5) pseudogene,143449571,143450245,61.04
ENSG00000274927,AC239859.5,lysine (K)-specific methyltransferase 2C (KMT2C) pseudogene,143461221,143498767,38.59
ENSG00000242943,NKAIN1P1,sodium/potassium transporting ATPase interacting 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:38593],143487772,143488353,63.75
ENSG00000223495,AC239859.2,kinase suppressor of ras 1 (KSR1) pseudogene,143498785,143499102,67.30
ENSG00000235887,AC239859.3,novel transcript,143499187,143500512,48.42
ENSG00000203825,AC239859.1,phosphodiesterase 4D interacting protein (myomegalin) (PDE4DIP) pseudogene,143541768,143572834,44.30
ENSG00000179571,NBPF17P,NBPF member 17, pseudogene [Source:HGNC Symbol;Acc:HGNC:31997],143595216,143635641,41.30
ENSG00000226028,PFN1P12,profilin 1 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:42995],143619994,143620527,56.37
ENSG00000202167,RNU1-114P,RNA, U1 small nuclear 114, pseudogene [Source:HGNC Symbol;Acc:HGNC:48456],143652050,143652215,65.66
ENSG00000207349,RNVU1-17,RNA, variant U1 small nuclear 17 [Source:HGNC Symbol;Acc:HGNC:48322],143699456,143699619,51.83
ENSG00000252826,RNU1-92P,RNA, U1 small nuclear 92, pseudogene [Source:HGNC Symbol;Acc:HGNC:48434],143720510,143720644,46.67
ENSG00000206737,RNVU1-18,RNA, variant U1 small nuclear 18 [Source:HGNC Symbol;Acc:HGNC:37496],143729407,143729570,54.27
ENSG00000232721,AC239800.2,novel transcript,143736066,143739506,46.00
ENSG00000223779,AC239800.1,novel pseudogene, similar to phosphodiesterase 4D interacting protein PDE4DIP,143745249,143760669,41.88
ENSG00000242352,FAM91A3P,family with sequence similarity 91 member A3, pseudogene [Source:HGNC Symbol;Acc:HGNC:32273],143766540,143769083,41.82
ENSG00000270962,AC239800.3,NHP2 non-histone chromosome protein 2-like 1 (S. cerevisiae) (NHP2L1) pseudogene,143784376,143784671,55.07
ENSG00000263590,LINC02591,long intergenic non-protein coding RNA 2591 [Source:HGNC Symbol;Acc:HGNC:53901],143790010,143797108,53.06
ENSG00000252105,RNU1-143P,RNA, U1 small nuclear 143, pseudogene [Source:HGNC Symbol;Acc:HGNC:48485],143791542,143791687,51.37
ENSG00000233430,AC239798.1,phosphodiesterase 4D interacting protein (PDE4DIP) pseudogene,143811359,143825837,43.44
ENSG00000237503,AC239798.3,ubiquitin-conjugating enzyme E2D 4 (putative) (UBE2D4) pseudogene,143846097,143846504,47.30
ENSG00000265531,FCGR1CP,Fc fragment of IgG receptor Ic, pseudogene [Source:HGNC Symbol;Acc:HGNC:3615],143874793,143883575,41.82
ENSG00000240929,HIST2H2BB,histone cluster 2 H2B family member b (pseudogene) [Source:HGNC Symbol;Acc:HGNC:20654],143875171,143904650,42.12
ENSG00000234571,AC239798.2,novel transcript,143877731,143885076,43.97
ENSG00000273213,AC239798.4,novel transcript,143894544,143905964,43.02
ENSG00000230186,AC246680.1,novel transcript,143905487,143934776,43.40
ENSG00000203818,HIST2H3PS2,histone cluster 2 H3 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:32060],143905556,143905966,66.42
ENSG00000268074,RPL22P5,ribosomal protein L22 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:37022],143929994,143930382,40.87
ENSG00000263513,FAM72C,family with sequence similarity 72 member C [Source:HGNC Symbol;Acc:HGNC:30602],143955364,143971965,40.18
ENSG00000270872,SRGAP2D,SLIT-ROBO Rho GTPase activating protein 2D (pseudogene) [Source:HGNC Symbol;Acc:HGNC:43932],143975087,144068350,42.25
ENSG00000276674,IGKV1OR1-1,immunoglobulin kappa variable 1/OR1-1 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:5764],144085628,144086098,49.68
ENSG00000275075,AC244015.1,transmembrane protein 128  (TMEM128) pseudogene,144168752,144168850,39.39
ENSG00000275767,AC244015.2,otopetrin 1 (OTOP1) pseudogene,144179777,144211729,45.98
ENSG00000232527,AC245595.1,uncharacterized LOC107985200 [Source:NCBI gene;Acc:107985200],144227030,144250288,47.36
ENSG00000276442,RNA5SP529,RNA, 5S ribosomal pseudogene 529 [Source:HGNC Symbol;Acc:HGNC:53798],144265217,144265326,44.55
ENSG00000175658,DRD5P2,dopamine receptor D5 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:3028],144274892,144277993,61.12
ENSG00000276756,AC245595.2,lysine (K)-specific methyltransferase 2C (KMT2C) pseudogene,144276484,144305180,38.25
ENSG00000271567,PPIAL4E,peptidylprolyl isomerase A like 4E [Source:HGNC Symbol;Acc:HGNC:33997],144372875,144373659,45.61
ENSG00000271439,AC246785.4,HIG1 hypoxia inducible domain family, member 1C (HIGD1C) pseudogene,144401069,144401355,37.98
ENSG00000207205,RNVU1-15,RNA, variant U1 small nuclear 15 [Source:HGNC Symbol;Acc:HGNC:48320],144412576,144412740,52.73
ENSG00000237343,AC246785.3,novel transcript,144418113,144419192,58.43
ENSG00000233586,AC246785.2,novel pseudogene (FLJ39739),144418678,144419190,65.11
ENSG00000266338,NBPF15,NBPF member 15 [Source:HGNC Symbol;Acc:HGNC:28791],144421386,144461674,42.75
ENSG00000227212,PFN1P6,profilin 1 pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:42988],144442606,144443004,52.63
ENSG00000229002,AC246785.1,novel pseudogene,144472535,144474790,44.06
ENSG00000275291,RF00003,,144523860,144524021,46.91
ENSG00000278099,RF00003,,144551779,144551943,51.52
ENSG00000277918,RF00003,,144560666,144560829,53.66
ENSG00000279782,PPIAL4F,peptidylprolyl isomerase A like 4F [Source:HGNC Symbol;Acc:HGNC:33999],144592868,144593527,46.97
ENSG00000277199,LINC01632,long intergenic non-protein coding RNA 1632 [Source:HGNC Symbol;Acc:HGNC:52419],144627192,144642372,34.67
ENSG00000224363,FP700111.1,novel transcript,144641371,144919902,43.84
ENSG00000278273,FP700107.1,myeloid/lymphoid or mixed-lineage leukemia 3 (MLL3) pseudogene,144661200,144679513,36.41
ENSG00000222854,RNA5SP59,RNA, 5S ribosomal pseudogene 59 [Source:HGNC Symbol;Acc:HGNC:42836],144701050,144701159,44.55
ENSG00000273825,FP700111.2,otopetrin 1 (OTOP1) pseudogene,144754572,144786606,45.97
ENSG00000196369,SRGAP2B,SLIT-ROBO Rho GTPase activating protein 2B [Source:HGNC Symbol;Acc:HGNC:35237],144887265,145095528,42.03
ENSG00000271644,AC242498.1,RAP1, GTP-GDP dissociation stimulator 1 (RAP1GDS1) pseudogene,144965025,144965135,41.44
ENSG00000215784,FAM72D,family with sequence similarity 72 member D [Source:HGNC Symbol;Acc:HGNC:33593],145096000,145112696,40.17
ENSG00000283752,AC241585.3,phosphodiesterase 4D interacting protein (PDE4DIP) pseudogene,145139986,145148375,45.59
ENSG00000272419,LINC01145,long intergenic non-protein coding RNA 1145 [Source:HGNC Symbol;Acc:HGNC:49462],145164099,145216058,42.96
ENSG00000277678,RF00003,,145169519,145169664,51.37
ENSG00000281571,AC241585.2,TEC,145214851,145215938,64.71
ENSG00000223612,AC241585.1,EGFR-coamplified and overexpressed protein (ECOP) pseudogene,145233001,145233519,61.46
ENSG00000256374,PPIAL4D,peptidylprolyl isomerase A like 4D [Source:HGNC Symbol;Acc:HGNC:33998],145241630,145242124,47.47
ENSG00000271291,AC245014.2,HIG1 hypoxia inducible domain family, member 1C (HIGD1C) pseudogene,145269604,145269890,37.98
ENSG00000207501,RNVU1-14,RNA, variant U1 small nuclear 14 [Source:HGNC Symbol;Acc:HGNC:48319],145281116,145281279,48.78
ENSG00000276216,AC245014.3,novel transcript,145281116,145281462,49.57
ENSG00000236140,AC245014.1,novel transcript,145286610,145287755,57.59
ENSG00000162825,NBPF20,NBPF member 20 [Source:HGNC Symbol;Acc:HGNC:32000],145289900,145405778,44.12
ENSG00000234367,PFN1P3,profilin 1 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:42987],145407772,145408173,54.48
ENSG00000270384,RF00003,,145431527,145431693,65.27
ENSG00000270722,RF00003,,145465617,145465780,53.66
ENSG00000278182,AC239860.2,phosphodiesterase 4D interacting protein (PDE4DIP) pseudogene,145507444,145508607,37.37
ENSG00000275064,AC239860.1,phosphodiesterase 4D interacting protein (PDE4DIP) pseudogene,145509047,145520594,44.91
ENSG00000272150,NBPF25P,NBPF member 25, pseudogene [Source:HGNC Symbol;Acc:HGNC:45046],145572345,145607858,41.78
ENSG00000117262,GPR89A,G protein-coupled receptor 89A [Source:HGNC Symbol;Acc:HGNC:31984],145607990,145670648,38.91
ENSG00000174827,PDZK1,PDZ domain containing 1 [Source:HGNC Symbol;Acc:HGNC:8821],145670852,145708148,44.57
ENSG00000117281,CD160,CD160 molecule [Source:HGNC Symbol;Acc:HGNC:17013],145719471,145739288,42.04
ENSG00000265491,RNF115,ring finger protein 115 [Source:HGNC Symbol;Acc:HGNC:18154],145738868,145824077,41.91
ENSG00000186141,POLR3C,RNA polymerase III subunit C [Source:HGNC Symbol;Acc:HGNC:30076],145824088,145842505,43.11
ENSG00000186364,NUDT17,nudix hydrolase 17 [Source:HGNC Symbol;Acc:HGNC:26618],145845629,145848953,54.02
ENSG00000131788,PIAS3,protein inhibitor of activated STAT 3 [Source:HGNC Symbol;Acc:HGNC:16861],145848522,145859836,52.28
ENSG00000278549,MIR6736,microRNA 6736 [Source:HGNC Symbol;Acc:HGNC:50072],145850587,145850645,61.02
ENSG00000198483,ANKRD35,ankyrin repeat domain 35 [Source:HGNC Symbol;Acc:HGNC:26323],145866560,145885866,48.17
ENSG00000143127,ITGA10,integrin subunit alpha 10 [Source:HGNC Symbol;Acc:HGNC:6135],145891208,145910189,48.42
ENSG00000244619,AC243547.1,novel transcript, antisense to ITGA10,145892847,145893483,48.19
ENSG00000131779,PEX11B,peroxisomal biogenesis factor 11 beta [Source:HGNC Symbol;Acc:HGNC:8853],145911350,145918837,45.50
ENSG00000265241,RBM8A,RNA binding motif protein 8A [Source:HGNC Symbol;Acc:HGNC:9905],145917714,145927678,46.78
ENSG00000211451,GNRHR2,gonadotropin releasing hormone receptor 2 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:16341],145919013,145925341,44.54
ENSG00000234222,LIX1L-AS1,LIX1L antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41210],145926590,145959179,44.35
ENSG00000280778,AC243547.3,novel protein, lncRNA-POLR3GL readthrough,145927258,145977811,45.64
ENSG00000271601,LIX1L,limb and CNS expressed 1 like [Source:HGNC Symbol;Acc:HGNC:28715],145933423,145958001,43.60
ENSG00000272031,ANKRD34A,ankyrin repeat domain 34A [Source:HGNC Symbol;Acc:HGNC:27639],145959442,145964582,55.92
ENSG00000278431,AC243547.2,novel transcript, antisense to ANKRD34A,145961388,145964422,54.86
ENSG00000121851,POLR3GL,RNA polymerase III subunit G like [Source:HGNC Symbol;Acc:HGNC:28466],145964702,145978848,44.90
ENSG00000265972,TXNIP,thioredoxin interacting protein [Source:HGNC Symbol;Acc:HGNC:16952],145992435,145996600,42.49
ENSG00000168509,HJV,hemojuvelin BMP co-receptor [Source:HGNC Symbol;Acc:HGNC:4887],146017468,146036746,44.51
ENSG00000201558,RNVU1-6,RNA, variant U1 small nuclear 6 [Source:HGNC Symbol;Acc:HGNC:48314],146052081,146052244,50.61
ENSG00000233396,LINC01719,long intergenic non-protein coding RNA 1719 [Source:HGNC Symbol;Acc:HGNC:52506],146052566,146061948,44.84
ENSG00000271425,NBPF10,NBPF member 10 [Source:HGNC Symbol;Acc:HGNC:31992],146064699,146144804,44.05
ENSG00000213240,AC239799.1,novel transcript,146113652,146229000,40.62
ENSG00000264343,NOTCH2NLA,notch 2 N-terminal like A [Source:HGNC Symbol;Acc:HGNC:31862],146146203,146229026,39.19
ENSG00000276509,AC239799.2,novel transcript,146235806,146237807,45.30
ENSG00000201789,RNU6-1071P,RNA, U6 small nuclear 1071, pseudogene [Source:HGNC Symbol;Acc:HGNC:48034],146288596,146288696,41.58
ENSG00000271121,NUDT4P2,nudix hydrolase 4 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:18013],146298170,146298715,49.82
ENSG00000277406,SEC22B4P,SEC22 homolog B4, pseudogene [Source:HGNC Symbol;Acc:HGNC:53892],146321214,146401647,41.23
ENSG00000270339,AC243756.1,peptidyl-prolyl cis-trans isomerase A-like 4C [Source:NCBI gene;Acc:105371242],146344131,146344790,46.67
ENSG00000273768,RF00003,,146376807,146376970,54.27
ENSG00000274428,RF00003,,146409903,146410062,45.62
ENSG00000277655,AC245407.1,neuroblastoma breakpoint family, member 6 (NBPF6) pseudogene,146459449,146461859,44.26
ENSG00000276975,HYDIN2,HYDIN2, axonemal central pair apparatus protein (pseudogene) [Source:HGNC Symbol;Acc:HGNC:33129],146472566,146914294,41.49
ENSG00000274408,RNA5SP536,RNA, 5S ribosomal pseudogene 536 [Source:HGNC Symbol;Acc:HGNC:53805],146539541,146539663,42.28
